professors_list,ratings_list,subjects_list,difficulty_list,link_list
Pam Streitfeld,3.8,Anthropology,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=341740
Thomas Hu,3.7,Mathematics,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=342514
Carole Chapman,4.7,Information Science,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=354925
Leslie Month,3.6,Mathematics,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=356882
L Lema,3.2,Communication,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=364085
Nancy Miller,2.9,Biology,3.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=374599
A Alabovskaya,1.9,Mathematics,3.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=376133
Tina Levy,3.2,Mathematics,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=389458
E Angelakos,4.0,Physical Ed,1.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=390994
Colin Sacks,4.7,Psychology,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=391908
Robert Eustes,3.5,Culinary Arts,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=392693
Jim Moran,3.5,Mathematics,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=399182
Ginny Horner,4.0,Mathematics,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=401330
Buzz Holt,4.0,History,1.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=404476
Peter Churchill,3.0,Business,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=406279
Jennifer Enzminger,3.9,Languages,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=408224
Rick Risbrough,4.6,Psychology,1.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=408814
Ted Boone,4.2,Political Science,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=416008
Lenore Gallin,2.1,Anthropology,3.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=416208
Jim Byrnes,2.7,Social Work,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=417755
Robert Trempy,2.5,History,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=418263
William Bonacci,2.8,Mathematics,3.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=421260
. Brunner,1.1,Chemistry,4.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=421269
. Burns,3.3,Chemistry,3.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=421270
John Ellis,2.0,Chemistry,4.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=421271
Nader Sharkes,3.0,Culinary Arts,2.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=434242
Ken Hein,5.0,Fine Arts,1.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=437351
Jim Kirkwood,4.6,Theater,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=442352
Ed Copra,4.6,Languages,2.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=445371
J Brecha,3.3,Mathematics,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=449476
Ken Haldan,3.2,History,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=452020
Anita Pal,3.2,English,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=460126
Garen Avanessian,2.3,Engineering,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=495569
Steve Ward,4.6,Physical Ed,1.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=503410
T Leal,4.4,English,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=508547
Karen Edwards,4.8,Mathematics,2.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=509491
H. Alixopolous,4.0,History,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=511388
B. Hewitt,3.3,Health Science,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=511390
R. Millington,4.6,Physical Ed,1.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=511394
Ruth Schenk-Pretlow,3.7,English,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=512879
Obed Vazquez,3.4,Sociology,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=513215
Anthony Meixner,2.6,English,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=516637
. Luhring,2.9,Mathematics,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=517546
Margaret McKenzie,3.8,English,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=525427
Donna Wapner,4.0,Health Science,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=531483
Elisabeth Fournier,4.9,Languages,1.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=533565
Anne Bergland,2.4,Mathematics,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=542073
. Vonder Haar,2.6,Geology,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=547846
James Jacobs,4.4,English,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=547920
Deya Hill,3.9,Social Science,2.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=547922
Sharon Pastori,3.2,English,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=562921
Ellen Peterson,4.9,Psychology,1.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=563261
Greg Newton,3.9,Psychology,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=578851
H Lee,1.0,English,5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=595522
W. Walensky,3.4,Humanities,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=614399
Deborah Hunt,3.8,Library Technology,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=615173
F Wilhelm,2.8,Physics,3.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=625046
Suzan Bollich,3.9,Psychology,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=625438
Jean Dickinson,3.8,Journalism,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=626388
Randy Smith,4.3,History,1.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=626681
Daniel Cruz,2.8,Physical Ed,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=631239
Roger Carne,4.2,Mathematics,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=633420
R Sydlaske,3.3,English,2.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=636036
Robert Flannagen,1.9,Chemistry,3.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=638699
Margaret Steele,4.5,History,1.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=651138
Rene Sporer,4.3,Mathematics,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=655594
ED Pieczenik,4.6,Psychology,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=658534
Tiffany Higgins,2.6,English,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=661339
G Walls,0.0,English,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=661342
Tom Hurley,3.5,English,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=665451
Gary Drebelbis,4.3,Communication,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=666263
Les Abbott,5.0,Theater,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=667281
ED Walsh,3.9,English,1.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=668390
Steve Sage,4.5,Music,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=668587
Mitra Shahraz,3.0,Computer Science,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=671355
Daniel Abbott,4.1,Architecture,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=671394
Bruce Tamura,4.9,Languages,1.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=672196
Henry Hall,3.8,Humanities,2.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=674903
Donald Roe,4.5,English,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=676572
Keith Twitchell,4.2,Criminal Justice,1.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=677526
F Oakes,3.6,Graphic Arts,3.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=678372
Denise Fuller,0.0,Graphic Arts,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=678382
John Sappington,0.0,Graphic Arts,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=679672
Greg Sinsel,0.0,Law,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=680028
Glen Barker,4.9,Health Science,2.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=680679
John Dravland,3.6,Political Science,1.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=680810
Art Mielke,2.0,Philosophy,3.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=681032
Bruce Lerro,3.1,Psychology,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=685761
Joe Foniz,0.0,Communication,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=688088
Irina Dugina,4.9,Languages,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=689037
Jim Lord,4.4,Mathematics,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=690529
Clair Brees,2.2,Fine Arts,4.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=690562
Mark Steidel,5.0,Music,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=691705
Denise Dinwiddie,2.5,English,3.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=693369
Michael Barnes,0.0,Sociology,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=694497
D. Martin,4.2,Criminal Justice,1.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=698884
Katherine Abajian,2.7,English,3.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=699079
Norma Quan,2.3,English,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=704878
George Turner,0.0,Geology,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=706668
D Prapavessi,2.4,Mathematics,3.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=708179
Jessica Inclan,3.0,English,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=708858
Judy Myers,4.1,English,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=709721
Andrea Weber,0.0,Theater,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=713653
Robert Cain,0.0,Film,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=716795
Peter Brooks,4.5,Art History,1.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=717360
Jan Deshera,0.0,Music,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=722277
Amer Araim,3.1,Political Science,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=723039
. Duwe,2.6,Biology,5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=724657
Joanne Burke,4.2,Physical Ed,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=724933
Nancy Malone,4.7,English,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=725563
Nicole Rua,0.0,English,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=728079
DR. Gamal,4.2,Biology,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=738092
Grace Hill,4.5,Accounting,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=739163
Pamela Hawkins,1.9,Business,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=739964
J Spanger,0.0,English,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=740533
Cheryl Stewart,4.6,Social Science,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=743820
Rosemary Darabian,3.8,Biology,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=746297
Lynn Delker,3.1,Physics,3.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=749311
Ted Nirgiotis,3.8,Mathematics,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=752813
Wayne McKinney,4.0,Science,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=770541
Mary Lundberg,4.1,English,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=771046
Gary Leon,3.4,Mathematics,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=773374
Kathy Corbett,3.5,Sociology,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=777174
Penny Warner,4.9,Psychology,1.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=778618
Gloria Reimer,2.7,Accounting,1.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=781109
Fran Brown,4.9,Fine Arts,1.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=782383
B Sengupta,2.1,English,3.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=786349
Pamela McNeilly,3.6,Psychology,1.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=819409
. Steinberg,4.5,History,1.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=819688
Shruti Kumar,3.9,Physics,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=823095
Joan Symonds,4.9,Education,1.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=843844
Jerry Kuderna,4.6,Music,1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=853453
Julie Roemer,3.5,English,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=855526
. Lomax,4.7,Political Science,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=855527
Shannon Phalen,4.7,Communication,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=858836
Linda Guo,2.0,Languages,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=862000
Maureen E. O' Leary,4.5,English,1.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=864750
Diane Livia,2.5,Broadcasting,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=866824
Sylvi Herrick,0.0,Fine Arts,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=868382
Stuart Turner,1.7,Mathematics,4.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=872127
Joan Means,4.3,Education,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=873150
Kent Campbell,3.5,Chemistry,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=877198
Vernon Small,2.1,Chemistry,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=877200
Robert Keller,3.7,Fine Arts,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=882118
Karl Staubach,4.5,English,1.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=883598
P Streitfield,4.8,Anthropology,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=888442
Elsworth Ray,3.9,Anthropology,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=888443
Trung Le,3.7,Philosophy,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=888444
C Florence,3.8,Biology,4.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=888445
Rashaan Meneses,4.9,English,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=892694
Robert Valcalda,3.5,Computer Science,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=894150
Ken Bergmann,5.0,Music,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=899125
Susan Moore,4.5,Mathematics,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=906302
J Ojeefe,0.0,English,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=919392
Steve Kelley,3.8,Biology,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=919782
T Bresnahan,4.2,Philosophy,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=922230
G Castro-Gonzalez,2.0,Mathematics,4.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=925638
R Spencer-Crompton,0.0,Theater,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=925640
J Krivicich,4.5,Physics,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=926732
Mark Simons,4.5,Music,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=927755
Hilary Commins,4.9,English,1.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=928376
F Campbell-Lavoie,3.3,Mathematics,2.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=930535
Carol Sebilia,2.7,Sociology,3.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=931405
Denise Hum,4.8,Mathematics,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=938977
Steve Balassi,0.0,Business,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=942253
Steve Youn,2.6,Computer Science,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=948653
Marcus Hanschen,0.0,Architecture,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=952671
Linda Downing,4.8,Languages,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=954716
Dave Domeier,4.8,Accounting,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=955172
Deborah Dahl-Shanks,4.4,Music,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=957765
Albert Greer,0.0,Physics,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=958879
Elizabeth Carmichael,4.5,English,2.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=960965
Alayne Cramer,0.0,English,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=961027
Elizabeth Emigh,4.9,Music,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=963303
Jill Hemker,0.0,English,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=977116
Elizabeth Simas,4.1,Communication,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=982989
Marc Carrasco,4.8,Biology,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=987325
Cindy Murphy,4.3,Psychology,1.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=990289
Carolyn Dukes Alexander,3.5,Information Science,1.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=992593
Patty Leitner,4.9,Mathematics,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=993976
Aylin Gulbenkian,0.0,Chemistry,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=995078
. Mohebi,1.6,Mathematics,4.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=996530
R Opsata,4.8,Communication,1.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=997006
Santina Mongold,4.1,Science,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=997697
T Blair,4.6,Political Science,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1001368
John Kluessner,4.0,Chemistry,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1002019
B Jia,0.0,Languages,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1002099
